1000 10 1657
1000 10 1650
1000 10 1662
1000 10 1690
1000 10 1732
1000 1 8009
1000 1 7927
1000 1 8142
1000 1 8245
1000 1 8163
1000 25 1281
1000 25 1270
1000 25 1276
1000 25 1298
1000 25 1304
1000 4 2719
1000 4 2696
1000 4 2751
1000 4 2788
1000 4 2791
1000 64 1100
1000 64 1107
1000 64 1099
1000 64 1126
1000 64 1148
100 10 170
100 10 184
100 10 179
100 10 181
100 10 161
100 1 805
100 1 833
100 1 872
100 1 831
100 1 819
100 25 127
100 25 149
100 25 136
100 25 143
100 25 121
100 4 277
100 4 294
100 4 293
100 4 287
100 4 269
100 64 111
100 64 134
100 64 124
100 64 126
100 64 106
10 10 20
10 10 17
10 10 22
10 10 20
10 10 19
10 1 76
10 1 80
10 1 92
10 1 73
10 1 86
10 25 20
10 25 18
10 25 21
10 25 21
10 25 20
10 4 29
10 4 29
10 4 36
10 4 29
10 4 30
10 64 20
10 64 17
10 64 22
10 64 20
10 64 20
1 10 1
1 10 9
1 10 1
1 10 9
1 10 7
1 1 1
1 1 9
1 1 1
1 1 9
1 1 7
1 25 1
1 25 9
1 25 1
1 25 9
1 25 7
1 4 1
1 4 9
1 4 1
1 4 9
1 4 7
1 64 1
1 64 9
1 64 1
1 64 9
1 64 7
